DATE,GEO,CATEGORY,VALUE
2020-12-01,New Brunswick,house,104.2
2020-12-01,Newfoundland and Labrador,house,100.7
2020-12-01,Nova Scotia,house,110.1
2020-12-01,Ontario,house,110.8
2020-12-01,"Oshawa, Ontario",house,110.7
2020-12-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",house,135.6
2020-12-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",house,112.8
2020-12-01,Prairie Region,house,98.7
2020-12-01,Prince Edward Island,house,106.5
2020-12-01,Quebec,house,117.5
2020-12-01,"Québec, Quebec",house,106
2020-12-01,"Regina, Saskatchewan",house,92.7
2020-12-01,"Saint John, Fredericton, and Moncton, New Brunswick",house,104.2
2020-12-01,Saskatchewan,house,95.5
2020-12-01,"Saskatoon, Saskatchewan",house,97.1
2020-12-01,"Sherbrooke, Quebec",house,104
2020-12-01,"St. Catharines-Niagara, Ontario",house,115.2
2020-12-01,"St. John's, Newfoundland and Labrador",house,100.7
2020-12-01,"Toronto, Ontario",house,105.5
2020-12-01,"Trois-Rivières, Quebec",house,107.6
2020-12-01,"Vancouver, British Columbia",house,112.8
2020-12-01,"Victoria, British Columbia",house,107.7
2020-12-01,"Windsor, Ontario",house,113.4
2020-12-01,"Winnipeg, Manitoba",house,109.1
2021-01-01,Alberta,house,98
2021-01-01,Atlantic Region,house,105.9
2021-01-01,British Columbia,house,112.3
2021-01-01,"Calgary, Alberta",house,97.6
2021-01-01,Canada,house,109
2021-01-01,"Charlottetown, Prince Edward Island",house,110
2021-01-01,"Edmonton, Alberta",house,98.3
2021-01-01,"Greater Sudbury, Ontario",house,106.1
2021-01-01,"Guelph, Ontario",house,114.6
2021-01-01,"Halifax, Nova Scotia",house,110.1
2021-01-01,"Hamilton, Ontario",house,116.1
2021-01-01,"Kelowna, British Columbia",house,107.6
2021-01-01,"Kitchener-Cambridge-Waterloo, Ontario",house,121.8
2021-01-01,"London, Ontario",house,121.2
2021-01-01,Manitoba,house,110.4
2021-01-01,"Montréal, Quebec",house,122.1
2021-01-01,New Brunswick,house,104.2
2021-01-01,Newfoundland and Labrador,house,100.7
2021-01-01,Nova Scotia,house,110.1
2021-01-01,Ontario,house,112.2
2021-01-01,"Oshawa, Ontario",house,112.4
2021-01-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",house,137.9
2021-01-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",house,112.8
2021-01-01,Prairie Region,house,99
2021-01-01,Prince Edward Island,house,110
2021-01-01,Quebec,house,117.8
2021-01-01,"Québec, Quebec",house,108.7
2021-01-01,"Regina, Saskatchewan",house,92.9
2021-01-01,"Saint John, Fredericton, and Moncton, New Brunswick",house,104.2
2021-01-01,Saskatchewan,house,95.9
2021-01-01,"Saskatoon, Saskatchewan",house,97.7
2021-01-01,"Sherbrooke, Quebec",house,104
